dt,is_long,R,R_cost,year,maturity
2023-09-13 09:50:00-07:00,True,-1.0,-1.0143434343434343,2023,0.6314879876600822
2023-09-22 07:25:00-07:00,True,0.5,0.4897841726618705,2023,-1.913284992801817
2023-10-04 16:55:00-07:00,True,-1.0,-1.071,2023,-2.566214206092469
2023-10-26 18:10:00-07:00,True,0.5,0.4724271844660194,2023,-3.3285272883728934
2023-10-31 04:55:00-07:00,True,-1.0,-1.0350617283950618,2023,-2.9653390075253885
2023-11-01 10:45:00-07:00,True,0.5,0.48464864864864865,2023,-2.312888832699677
2023-11-02 07:40:00-07:00,True,0.5,0.49010452961672474,2023,-0.8998892264463995
2023-11-06 03:00:00-08:00,True,-1.0,-1.0289795918367346,2023,0.823592638364053
2023-11-13 01:20:00-08:00,True,-1.0,-1.0275728155339805,2023,2.6733962837605056
2023-11-13 04:20:00-08:00,True,-1.0,-1.0394444444444444,2023,2.6733962837605056
2023-11-16 16:55:00-08:00,True,-1.0,-1.045079365079365,2023,3.8965369126049283
2023-11-22 09:00:00-08:00,True,-1.0,-1.0120851063829788,2023,4.278977541728517
2023-12-07 03:20:00-08:00,True,1.5,1.4842222222222223,2023,2.371754053595185
2023-12-08 07:50:00-08:00,True,1.5,1.4943873517786561,2023,3.1898801436748894
2023-12-11 05:00:00-08:00,True,1.5,1.4798581560283688,2023,4.288281504068953
2023-12-12 10:00:00-08:00,True,1.5,1.4794202898550726,2023,5.12334815689061
2023-12-13 07:20:00-08:00,True,-1.0,-1.0193197278911565,2023,5.611360311667905
2023-12-15 03:50:00-08:00,True,-1.0,-1.0338095238095237,2023,5.907830496564025
2023-12-17 17:35:00-08:00,True,1.5,1.476910569105691,2023,5.957778319274973
2023-12-22 07:30:00-08:00,True,-1.0,-1.018562091503268,2023,5.6273537606824995
2024-01-08 04:50:00-08:00,True,1.5,1.4870319634703197,2024,0.6286845088574906
2024-01-09 12:05:00-08:00,True,-1.0,-1.0183225806451612,2024,2.169577396274527
2024-01-10 09:10:00-08:00,True,1.5,1.4770967741935483,2024,2.4309121427667137
2024-01-10 15:15:00-08:00,True,0.5,0.48924242424242426,2024,2.4309121427667137
2024-01-18 02:40:00-08:00,True,1.5,1.458840579710145,2024,1.812945068622468
2024-01-19 01:50:00-08:00,True,1.5,1.4880672268907562,2024,3.145554533882871
2024-01-25 04:30:00-08:00,True,1.5,1.4821383647798743,2024,0.7960728930156102
2024-01-25 08:50:00-08:00,True,-1.0,-1.011639344262295,2024,0.7960728930156102
2024-01-29 00:20:00-08:00,True,0.5,0.4776377952755905,2024,0.7768594829793769
2024-01-29 03:25:00-08:00,True,-1.0,-1.0436923076923077,2024,0.7768594829793769
2024-02-14 18:35:00-08:00,True,1.5,1.4640506329113925,2024,1.1127566319278113
2024-02-26 09:15:00-08:00,True,-1.0,-1.0137864077669902,2024,1.6550239889399492
2024-03-06 05:50:00-08:00,True,-1.0,-1.012566371681416,2024,1.2391883723771362
2024-03-07 06:55:00-08:00,True,0.5,0.4921978021978022,2024,0.9682614491057023
2024-03-07 23:35:00-08:00,True,1.5,1.4661904761904763,2024,0.9682614491057023
2024-03-11 20:00:00-07:00,True,1.5,1.4420408163265306,2024,1.7865890725879956
2024-03-25 10:15:00-07:00,True,0.5,0.4713131313131313,2024,2.228482718264879
2024-03-25 11:40:00-07:00,True,-1.0,-1.014869109947644,2024,2.228482718264879
2024-04-03 10:50:00-07:00,True,-1.0,-1.0129680365296803,2024,0.6893845375265762
2024-04-05 02:15:00-07:00,True,0.5,0.46808988764044945,2024,-0.12136388185767491
2024-04-15 02:05:00-07:00,True,-1.0,-1.0267924528301886,2024,0.18332545125772692
2024-04-16 08:25:00-07:00,True,-1.0,-1.0092508143322476,2024,-1.3173269518050854
2024-04-23 10:40:00-07:00,True,0.5,0.4804137931034483,2024,-2.7510131321498763
2024-04-23 22:45:00-07:00,True,-1.0,-1.0373684210526315,2024,-2.7510131321498763
