timestamp_utc,open,high,low,close,volume
2019-12-12T15:06:00+00:00,11805.75,11813.75,11800.25,11809.75,0
2019-12-12T15:07:00+00:00,11810.75,11811.0,11796.75,11800.25,0
2019-12-12T15:08:00+00:00,11800.75,11803.75,11795.75,11799.5,0
2019-12-12T15:09:00+00:00,11799.5,11805.5,11799.0,11802.0,0
2019-12-12T15:10:00+00:00,11803.5,11807.75,11801.5,11801.5,0
2019-12-12T15:11:00+00:00,11802.5,11807.5,11802.5,11807.0,0
2019-12-12T15:12:00+00:00,11807.75,11808.0,11800.25,11800.5,0
2019-12-12T15:13:00+00:00,11801.5,11804.0,11800.0,11802.0,0
2019-12-12T15:14:00+00:00,11802.25,11807.5,11802.25,11805.0,0
2019-12-12T15:15:00+00:00,11805.5,11817.0,11805.5,11808.75,0
2019-12-12T15:16:00+00:00,11808.75,11811.0,11804.75,11807.5,0
2019-12-12T15:17:00+00:00,11806.0,11807.75,11805.0,11805.75,0
2019-12-12T15:18:00+00:00,11806.25,11810.25,11805.75,11808.5,0
2019-12-12T15:19:00+00:00,11809.5,11811.25,11806.75,11809.75,0
2019-12-12T15:20:00+00:00,11810.0,11811.25,11807.25,11810.5,0
2019-12-12T15:21:00+00:00,11811.0,11819.0,11810.75,11817.75,0
2019-12-12T15:22:00+00:00,11816.25,11817.75,11813.0,11813.5,0
2019-12-12T15:23:00+00:00,11813.25,11817.0,11813.25,11816.0,0
2019-12-12T15:24:00+00:00,11815.25,11816.25,11810.75,11810.75,0
2019-12-12T15:25:00+00:00,11811.75,11815.5,11811.75,11815.25,0
2019-12-12T15:26:00+00:00,11815.75,11816.0,11811.75,11813.0,0
2019-12-12T15:27:00+00:00,11813.0,11814.25,11810.75,11811.0,0
2019-12-12T15:28:00+00:00,11811.25,11811.75,11809.75,11811.25,0
2019-12-12T15:29:00+00:00,11811.25,11813.5,11810.75,11811.75,0
2019-12-12T15:30:00+00:00,11812.25,11815.25,11811.75,11815.0,0
2019-12-12T15:31:00+00:00,11815.5,11816.5,11812.0,11813.5,0
2019-12-12T15:32:00+00:00,11813.0,11814.0,11811.0,11811.5,0
2019-12-12T15:33:00+00:00,11811.0,11811.75,11808.5,11808.5,0
2019-12-12T15:34:00+00:00,11809.25,11810.25,11806.25,11807.25,0
2019-12-12T15:35:00+00:00,11808.5,11811.5,11808.0,11808.0,0
2019-12-12T15:36:00+00:00,11808.0,11810.75,11807.75,11808.75,0
2019-12-12T15:37:00+00:00,11809.0,11810.0,11807.25,11807.25,0
2019-12-12T15:38:00+00:00,11807.5,11808.5,11806.25,11806.25,0
2019-12-12T15:39:00+00:00,11806.5,11807.25,11805.75,11807.25,0
