dt,is_long,mae,mfe,session,won_0.25,won_0.50,won_0.75,won_1.00,year
2023-09-22 07:25:00-07:00,True,1.0,1.0359712230215827,NY,True,True,True,True,2023
2023-09-27 10:15:00-07:00,False,1.0,0.6494845360824743,NY,True,True,False,False,2023
2023-10-05 10:10:00-07:00,False,1.0,0.00819672131147541,NY,False,False,False,False,2023
2023-10-26 18:10:00-07:00,True,0.8932038834951457,2.1844660194174756,ASIA,True,True,True,True,2023
2023-11-01 10:45:00-07:00,True,1.0,1.5243243243243243,NY,True,True,True,True,2023
2023-11-02 07:40:00-07:00,True,0.22996515679442509,2.034843205574913,NY,True,True,True,True,2023
2023-11-06 03:00:00-08:00,True,1.0,0.17346938775510204,LONDON,False,False,False,False,2023
2023-11-22 09:00:00-08:00,True,1.0,0.35319148936170214,NY,True,False,False,False,2023
2023-11-29 00:30:00-08:00,False,1.0,0.0,LONDON,False,False,False,False,2023
2023-12-07 03:20:00-08:00,True,0.16666666666666666,2.061111111111111,LONDON,True,True,True,True,2023
2023-12-11 05:00:00-08:00,True,0.5673758865248227,2.2411347517730498,LONDON,True,True,True,True,2023
2023-12-15 03:50:00-08:00,True,1.0,0.05952380952380952,LONDON,False,False,False,False,2023
2023-12-17 17:35:00-08:00,True,0.7479674796747967,2.0,ASIA,True,True,True,True,2023
2024-01-03 08:40:00-08:00,False,1.0,0.9,NY,True,True,True,False,2024
2024-01-05 01:05:00-08:00,False,1.0,1.6962025316455696,LONDON,True,True,True,True,2024
2024-01-10 09:10:00-08:00,True,0.1693548387096774,2.0080645161290325,NY,True,True,True,True,2024
2024-01-10 15:15:00-08:00,True,1.0,1.518939393939394,ASIA,True,True,True,True,2024
2024-01-11 07:35:00-08:00,False,1.0,1.0127118644067796,NY,True,True,True,True,2024
2024-01-18 02:40:00-08:00,True,0.3188405797101449,2.1449275362318843,LONDON,True,True,True,True,2024
2024-01-19 01:50:00-08:00,True,0.7310924369747899,2.008403361344538,LONDON,True,True,True,True,2024
2024-01-25 04:30:00-08:00,True,0.8616352201257862,2.1823899371069184,LONDON,True,True,True,True,2024
2024-01-29 00:20:00-08:00,True,1.0,1.188976377952756,LONDON,True,True,True,True,2024
2024-02-14 18:35:00-08:00,True,0.012658227848101266,2.1012658227848102,ASIA,True,True,True,True,2024
2024-02-19 21:15:00-08:00,False,1.0,0.4430379746835443,ASIA,True,False,False,False,2024
2024-02-21 10:55:00-08:00,False,0.9645390070921985,2.0,NY,True,True,True,True,2024
2024-02-25 23:20:00-08:00,False,1.0,0.0975609756097561,ASIA,False,False,False,False,2024
2024-03-04 10:15:00-08:00,False,1.0,0.7426470588235294,NY,True,True,False,False,2024
2024-03-11 20:00:00-07:00,True,0.08163265306122448,2.2448979591836733,ASIA,True,True,True,True,2024
2024-03-25 10:15:00-07:00,True,1.0,1.5252525252525253,NY,True,True,True,True,2024
2024-04-10 10:40:00-07:00,False,1.0,0.23076923076923078,NY,False,False,False,False,2024
2024-04-25 23:25:00-07:00,True,1.0,0.8,ASIA,True,True,True,False,2024
2024-04-30 01:40:00-07:00,False,0.43434343434343436,3.515151515151515,LONDON,True,True,True,True,2024
2024-04-30 05:10:00-07:00,False,0.5925925925925926,2.6944444444444446,LONDON,True,True,True,True,2024
2024-05-15 17:55:00-07:00,True,1.0,0.5981308411214953,ASIA,True,True,False,False,2024
2024-05-29 04:15:00-07:00,False,1.0,0.28688524590163933,LONDON,True,False,False,False,2024
