sample,utc,new_york,pacific,open,high,low,close
S10,2020-01-23T15:56:00+00:00,2020-01-23T10:56:00-05:00,2020-01-23T07:56:00-08:00,12486.5,12489.0,12483.25,12485.5
S10,2020-01-23T15:57:00+00:00,2020-01-23T10:57:00-05:00,2020-01-23T07:57:00-08:00,12485.75,12487.0,12484.0,12486.5
S10,2020-01-23T15:58:00+00:00,2020-01-23T10:58:00-05:00,2020-01-23T07:58:00-08:00,12486.5,12487.0,12485.5,12487.0
S10,2020-01-23T15:59:00+00:00,2020-01-23T10:59:00-05:00,2020-01-23T07:59:00-08:00,12486.75,12487.75,12483.75,12484.5
S10,2020-01-23T16:00:00+00:00,2020-01-23T11:00:00-05:00,2020-01-23T08:00:00-08:00,12484.25,12487.75,12482.0,12486.5
S10,2020-01-23T16:01:00+00:00,2020-01-23T11:01:00-05:00,2020-01-23T08:01:00-08:00,12486.5,12490.75,12483.5,12489.0
S10,2020-01-23T16:02:00+00:00,2020-01-23T11:02:00-05:00,2020-01-23T08:02:00-08:00,12489.0,12489.75,12478.75,12480.5
S10,2020-01-23T16:03:00+00:00,2020-01-23T11:03:00-05:00,2020-01-23T08:03:00-08:00,12480.5,12483.75,12478.75,12479.75
S10,2020-01-23T16:04:00+00:00,2020-01-23T11:04:00-05:00,2020-01-23T08:04:00-08:00,12479.75,12484.5,12479.25,12483.75
S10,2020-01-23T16:05:00+00:00,2020-01-23T11:05:00-05:00,2020-01-23T08:05:00-08:00,12483.5,12485.5,12482.75,12485.0
S10,2020-01-23T16:06:00+00:00,2020-01-23T11:06:00-05:00,2020-01-23T08:06:00-08:00,12485.0,12485.5,12480.5,12483.0
S10,2020-01-23T16:07:00+00:00,2020-01-23T11:07:00-05:00,2020-01-23T08:07:00-08:00,12483.25,12483.75,12479.5,12481.5
S10,2020-01-23T16:08:00+00:00,2020-01-23T11:08:00-05:00,2020-01-23T08:08:00-08:00,12481.5,12483.75,12480.5,12481.5
S10,2020-01-23T16:09:00+00:00,2020-01-23T11:09:00-05:00,2020-01-23T08:09:00-08:00,12481.25,12483.25,12480.25,12482.75
S10,2020-01-23T16:10:00+00:00,2020-01-23T11:10:00-05:00,2020-01-23T08:10:00-08:00,12483.0,12484.0,12479.0,12480.0
S10,2020-01-23T16:11:00+00:00,2020-01-23T11:11:00-05:00,2020-01-23T08:11:00-08:00,12480.0,12484.0,12478.25,12481.0
S10,2020-01-23T16:12:00+00:00,2020-01-23T11:12:00-05:00,2020-01-23T08:12:00-08:00,12481.0,12481.75,12474.75,12476.0
S10,2020-01-23T16:13:00+00:00,2020-01-23T11:13:00-05:00,2020-01-23T08:13:00-08:00,12476.25,12480.5,12474.5,12479.75
S10,2020-01-23T16:14:00+00:00,2020-01-23T11:14:00-05:00,2020-01-23T08:14:00-08:00,12479.5,12479.5,12476.0,12479.25
S10,2020-01-23T16:15:00+00:00,2020-01-23T11:15:00-05:00,2020-01-23T08:15:00-08:00,12479.25,12484.5,12478.5,12483.75
S10,2020-01-23T16:16:00+00:00,2020-01-23T11:16:00-05:00,2020-01-23T08:16:00-08:00,12483.75,12486.0,12483.25,12485.0
S10,2020-01-23T16:17:00+00:00,2020-01-23T11:17:00-05:00,2020-01-23T08:17:00-08:00,12485.0,12485.25,12480.75,12483.75
S10,2020-01-23T16:18:00+00:00,2020-01-23T11:18:00-05:00,2020-01-23T08:18:00-08:00,12483.75,12489.5,12483.25,12487.75
S10,2020-01-23T16:19:00+00:00,2020-01-23T11:19:00-05:00,2020-01-23T08:19:00-08:00,12487.5,12488.25,12482.25,12484.5
S10,2020-01-23T16:20:00+00:00,2020-01-23T11:20:00-05:00,2020-01-23T08:20:00-08:00,12484.75,12485.5,12483.0,12484.25
S10,2020-01-23T16:21:00+00:00,2020-01-23T11:21:00-05:00,2020-01-23T08:21:00-08:00,12484.25,12484.25,12481.0,12483.0
S10,2020-01-23T16:22:00+00:00,2020-01-23T11:22:00-05:00,2020-01-23T08:22:00-08:00,12482.75,12488.25,12482.75,12487.5
S10,2020-01-23T16:23:00+00:00,2020-01-23T11:23:00-05:00,2020-01-23T08:23:00-08:00,12487.75,12487.75,12484.5,12487.5
S10,2020-01-23T16:24:00+00:00,2020-01-23T11:24:00-05:00,2020-01-23T08:24:00-08:00,12487.25,12488.0,12483.25,12484.0
S10,2020-01-23T16:25:00+00:00,2020-01-23T11:25:00-05:00,2020-01-23T08:25:00-08:00,12483.75,12484.25,12479.75,12481.5
S10,2020-01-23T16:26:00+00:00,2020-01-23T11:26:00-05:00,2020-01-23T08:26:00-08:00,12481.5,12482.25,12477.25,12478.0
S10,2020-01-23T16:27:00+00:00,2020-01-23T11:27:00-05:00,2020-01-23T08:27:00-08:00,12477.75,12479.0,12473.5,12475.75
S10,2020-01-23T16:28:00+00:00,2020-01-23T11:28:00-05:00,2020-01-23T08:28:00-08:00,12476.0,12477.5,12473.0,12476.5
S10,2020-01-23T16:29:00+00:00,2020-01-23T11:29:00-05:00,2020-01-23T08:29:00-08:00,12476.5,12477.5,12474.5,12475.0
S10,2020-01-23T16:30:00+00:00,2020-01-23T11:30:00-05:00,2020-01-23T08:30:00-08:00,12475.25,12476.5,12473.5,12473.75
S10,2020-01-23T16:31:00+00:00,2020-01-23T11:31:00-05:00,2020-01-23T08:31:00-08:00,12474.0,12479.75,12472.75,12477.25
S10,2020-01-23T16:32:00+00:00,2020-01-23T11:32:00-05:00,2020-01-23T08:32:00-08:00,12477.25,12480.5,12476.75,12477.25
S10,2020-01-23T16:33:00+00:00,2020-01-23T11:33:00-05:00,2020-01-23T08:33:00-08:00,12477.25,12480.0,12474.5,12478.5
S10,2020-01-23T16:34:00+00:00,2020-01-23T11:34:00-05:00,2020-01-23T08:34:00-08:00,12478.5,12481.5,12476.75,12479.25
S10,2020-01-23T16:35:00+00:00,2020-01-23T11:35:00-05:00,2020-01-23T08:35:00-08:00,12479.25,12482.0,12478.75,12481.75
S10,2020-01-23T16:36:00+00:00,2020-01-23T11:36:00-05:00,2020-01-23T08:36:00-08:00,12482.0,12486.25,12481.75,12485.5
S10,2020-01-23T16:37:00+00:00,2020-01-23T11:37:00-05:00,2020-01-23T08:37:00-08:00,12486.0,12488.5,12485.5,12488.25
S10,2020-01-23T16:38:00+00:00,2020-01-23T11:38:00-05:00,2020-01-23T08:38:00-08:00,12488.25,12489.75,12487.5,12488.0
S10,2020-01-23T16:39:00+00:00,2020-01-23T11:39:00-05:00,2020-01-23T08:39:00-08:00,12487.75,12491.0,12487.25,12490.75
S10,2020-01-23T16:40:00+00:00,2020-01-23T11:40:00-05:00,2020-01-23T08:40:00-08:00,12490.75,12493.75,12490.25,12491.25
S10,2020-01-23T16:41:00+00:00,2020-01-23T11:41:00-05:00,2020-01-23T08:41:00-08:00,12491.25,12491.25,12489.25,12490.25
S10,2020-01-23T16:42:00+00:00,2020-01-23T11:42:00-05:00,2020-01-23T08:42:00-08:00,12490.25,12492.25,12489.75,12491.25
S10,2020-01-23T16:43:00+00:00,2020-01-23T11:43:00-05:00,2020-01-23T08:43:00-08:00,12491.25,12492.75,12490.5,12490.75
S10,2020-01-23T16:44:00+00:00,2020-01-23T11:44:00-05:00,2020-01-23T08:44:00-08:00,12490.75,12491.5,12485.5,12486.0
S10,2020-01-23T16:45:00+00:00,2020-01-23T11:45:00-05:00,2020-01-23T08:45:00-08:00,12486.0,12488.25,12484.75,12486.25
S10,2020-01-23T16:46:00+00:00,2020-01-23T11:46:00-05:00,2020-01-23T08:46:00-08:00,12486.25,12487.25,12484.75,12486.0
S10,2020-01-23T16:47:00+00:00,2020-01-23T11:47:00-05:00,2020-01-23T08:47:00-08:00,12486.25,12487.25,12481.25,12481.5
S10,2020-01-23T16:48:00+00:00,2020-01-23T11:48:00-05:00,2020-01-23T08:48:00-08:00,12481.5,12486.25,12481.25,12484.25
S10,2020-01-23T16:49:00+00:00,2020-01-23T11:49:00-05:00,2020-01-23T08:49:00-08:00,12484.5,12485.5,12481.0,12481.5
S10,2020-01-23T16:50:00+00:00,2020-01-23T11:50:00-05:00,2020-01-23T08:50:00-08:00,12481.5,12482.75,12480.25,12481.75
S10,2020-01-23T16:51:00+00:00,2020-01-23T11:51:00-05:00,2020-01-23T08:51:00-08:00,12482.0,12483.5,12480.25,12482.0
S10,2020-01-23T16:52:00+00:00,2020-01-23T11:52:00-05:00,2020-01-23T08:52:00-08:00,12481.75,12481.75,12475.5,12476.5
S10,2020-01-23T16:53:00+00:00,2020-01-23T11:53:00-05:00,2020-01-23T08:53:00-08:00,12476.25,12482.5,12475.75,12481.0
S10,2020-01-23T16:54:00+00:00,2020-01-23T11:54:00-05:00,2020-01-23T08:54:00-08:00,12481.25,12485.5,12481.25,12483.0
S10,2020-01-23T16:55:00+00:00,2020-01-23T11:55:00-05:00,2020-01-23T08:55:00-08:00,12483.0,12488.0,12482.0,12487.0
S10,2020-01-23T16:56:00+00:00,2020-01-23T11:56:00-05:00,2020-01-23T08:56:00-08:00,12487.0,12489.25,12485.25,12487.5
S10,2020-01-23T16:57:00+00:00,2020-01-23T11:57:00-05:00,2020-01-23T08:57:00-08:00,12488.0,12489.0,12486.0,12488.0
S10,2020-01-23T16:58:00+00:00,2020-01-23T11:58:00-05:00,2020-01-23T08:58:00-08:00,12488.25,12488.25,12484.5,12485.75
S10,2020-01-23T16:59:00+00:00,2020-01-23T11:59:00-05:00,2020-01-23T08:59:00-08:00,12485.5,12487.75,12485.0,12487.25
S10,2020-01-23T17:00:00+00:00,2020-01-23T12:00:00-05:00,2020-01-23T09:00:00-08:00,12487.25,12491.0,12487.25,12489.75
S11,2020-01-31T16:16:00+00:00,2020-01-31T11:16:00-05:00,2020-01-31T08:16:00-08:00,12341.5,12342.25,12317.5,12319.75
